,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
195,22380.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
191,10213.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,1
116,9795.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
531,5131.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
571,2189.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
164,20334.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,0
106,9795.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
16,24008.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
63,20105.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0
384,22964.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
105,9795.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
683,11273.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
657,27558.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,1
329,21627.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
345,23826.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
609,33374.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
405,23621.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
519,30063.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
93,14937.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
572,17959.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
433,14754.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
83,21341.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
588,27199.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
348,30502.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
540,3946.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
198,27776.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,1,0,0
145,9795.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
414,18451.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
150,583.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
39,29649.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
511,5690.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
509,27966.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,1
637,23553.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
536,20917.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
322,14824.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
253,14231.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
624,12610.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
548,23976.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
685,22189.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,0,0
357,9795.0,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
69,25564.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1
2,13196.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
340,3625.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
221,13607.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
651,17381.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
146,9795.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
289,36566.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
241,11322.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
29,25245.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
689,34175.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
114,9795.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
484,20472.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
692,9795.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
561,12314.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,0
553,21304.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
176,19945.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,0,0
614,21307.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
372,14054.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
168,27906.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,0
347,25960.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
376,26070.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
557,26511.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
612,17053.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
595,21891.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
534,12071.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
189,30056.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,1,1,1
136,22042.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
446,20154.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
585,23886.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
254,17971.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
437,21452.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
382,14461.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
648,27686.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,0
506,22891.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,1
670,12090.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,1
615,21391.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
590,13145.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
255,19715.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
232,17741.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
133,16754.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
33,22102.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
88,25199.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
418,24905.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
290,13776.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
44,21797.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
353,9795.0,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
341,5239.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
61,10014.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
668,27015.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,0,0
199,34621.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
429,28239.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
394,19740.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
297,27394.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
73,13050.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0
393,19386.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
596,23931.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
580,9185.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
586,24960.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
217,26191.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,1
575,22637.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
421,18277.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
138,25796.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
212,19183.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
587,26126.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
584,21418.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
641,16068.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,0
234,19612.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
67,23798.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1
24,18908.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
381,5379.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,0
216,25216.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
129,27544.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
349,32039.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
111,9795.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
166,22484.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,1,1
207,9795.0,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,0,1
438,22841.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
274,21525.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
592,19081.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
556,25830.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
525,21702.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
287,23069.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
469,39049.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,0,1
326,19818.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
121,10555.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
507,26252.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,1
228,9795.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
445,18562.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
117,9795.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
464,17337.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
25,19467.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
110,9795.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
149,31587.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
152,7892.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
528,35624.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,0
461,13457.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,0
139,35326.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
260,8427.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
323,17158.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
627,23217.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
248,9795.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
450,5827.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,0,0
410,6608.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
19,34665.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
328,21527.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
296,23200.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
269,27560.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
226,9795.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
94,17094.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
515,20770.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
280,7695.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
286,21145.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
652,17590.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
444,17451.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
184,23119.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
371,8211.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,1
635,21208.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
680,3867.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
275,24163.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
655,23635.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,0
182,21421.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
32,18147.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
80,2202.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
307,27942.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
11,15066.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
43,19592.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0
86,23751.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
36,25212.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
58,29187.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
41,10036.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
411,15190.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
562,12772.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,0
209,9795.0,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,0,1
148,31303.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
594,20618.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
123,13449.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
574,21974.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
98,21056.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
377,27460.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
130,2846.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
23,16508.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
608,27887.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
555,25777.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,0
370,1787.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,0
512,9049.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
383,16111.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,0,0
201,9795.0,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,1,0
368,29368.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
554,25295.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
610,12303.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
387,27940.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,0,0
292,21796.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
256,19898.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
606,23062.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
197,25869.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,0
95,17870.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
673,18195.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,0
169,29680.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
581,10915.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
305,26143.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
560,11229.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,0
373,19498.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,0
227,9795.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
143,9795.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
180,20156.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
131,7476.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
47,25052.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
324,18210.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
203,9795.0,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,0,0
84,21367.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
633,19112.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,1
565,21211.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
611,16078.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,0
398,26532.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
91,10625.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
82,15343.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
430,5632.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
119,41829.0,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
291,19461.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
